chemicalComposition,Equation,sites,reactionEnergy,facet
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.032543974999996,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",4.758305875000005,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",3.8949153749999965,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.9283819749999935,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",4.384757280000002,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.649028079999994,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.7210339700000077,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.586837579999994,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",6.080400879999999,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.358703179999992,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",5.514539380000002,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.456637454999992,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",3.978069154999986,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",4.385906754999979,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.096573154999987,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",5.281892959999993,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.2933243599999855,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.543667049999982,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.480784760000006,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",4.440648359999983,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.234527159999999,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",4.923286459999986,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.496703024999988,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",3.7237539249999827,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",4.522619625000004,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",3.8723060250000003,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",5.343543129999972,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.163789529999974,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.5534698200000037,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.526207829999976,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",3.8847279299999684,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.249456329999987,111
Pt64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",4.6210741299999825,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.095815515000027,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",3.8459440149999864,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",4.026474114999985,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.063817814999993,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",4.491242520000014,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.163266120000003,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.5915443099999607,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.5690689200000065,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",4.496784719999994,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.321263320000014,111
Rh64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",4.434900220000031,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.471240534999993,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",5.085016234999994,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",4.3599199349999935,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",5.257030934999992,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",5.208497539999993,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.7349824399999925,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.852465159999994,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.645707339999992,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",6.627853039999993,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.422638339999992,111
Ag64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",5.832212439999992,111
Re64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",3.5298649250000835,111
Re64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",3.7393972250000616,111
Re64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",3.0091752250000354,111
Re64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.217000225000106,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",3.7083693299999823,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.304297229999975,111
Re64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.4817696200000228,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.143090930000085,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",4.588109130000021,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",3.610531030000061,111
Re64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",3.9662671300000056,111
